"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"20202",50803.6996620008,-4.85673194122024,0.188843667529139,-26.1757992185474,5.01300650247795e-151,1.16777986475224e-146
"77803",2476.34649903386,6.62612399274863,0.246162692732848,22.9466675757224,1.59080483574296e-116,1.85288993243161e-112
"66355",1489.18213942939,5.79583971624034,0.246302331690931,19.9740581796671,9.26141197654875e-89,7.19148639979011e-85
"55963",1833.74907199963,4.4844568161824,0.245692299050207,18.751782581074,1.87209502093173e-78,1.09026133781511e-74
"18054",21315.4447465524,-2.92761665904409,0.160505723960011,-18.4220520637136,8.74254157458713e-76,4.07315011960014e-72
"26401",1535.61260221475,-3.04261567322832,0.169960799437689,-18.1109182950963,2.61352236632304e-73,1.01470005872492e-69
"68010",814.804563836936,3.96473249594241,0.238415118154698,16.6352098423391,3.87396329481742e-62,1.28919964218245e-58
"22364",573.139394168083,-4.26086673432338,0.260668715222672,-16.3911977654187,2.21045783682562e-60,6.4365769136066e-57
"16019",4190.02757504029,-3.01523456004344,0.192181909696586,-15.9799984376758,1.76150340946794e-57,4.55935799150618e-54
"14268",1403.07244224019,-4.07255330056405,0.266656635219706,-15.965816745755,2.21128001620301e-57,5.15117679774491e-54
"54204",6337.10615462142,2.53221650731692,0.163200476520993,15.6400307009985,3.88540696812927e-55,8.22823230205194e-52
"70762",665.447345628089,-3.18576748199025,0.213991251495505,-15.3093874604226,6.61842963161745e-53,1.28480265223774e-49
"229658",541.526313183891,-3.31264336009175,0.228337582428642,-14.8834748951473,4.21999873552862e-50,7.56191311877994e-47
"18985",684.998196897529,-3.41596141331272,0.235998816503378,-14.86714144673,5.3864590660091e-50,8.962683138763e-47
"100034684",498.818380549697,3.76091000993643,0.259831527238195,14.457973472746,2.23275324797114e-47,3.46746579409918e-44
"67522",561.799669768895,3.35966043797009,0.243994493518703,14.0297144374464,1.02563723827713e-44,1.49326371660411e-41
"631037",362.066649235834,-4.19745174155582,0.308857554954935,-13.9410065540697,3.56871473320097e-44,4.89018880646568e-41
"76954",677.822644112528,-3.04354498622973,0.226226812624465,-13.6767409954913,1.39820229404552e-42,1.80950680221058e-39
"100038353",453.505507781283,4.19156755457537,0.291630619033033,13.4772416474948,2.12919094426878e-41,2.6105001603548e-38
"18624",2188.2150240337,2.67858080742903,0.205387323856423,13.258043999832,4.05330345672948e-40,4.72108520122566e-37
"19699",752.152295020071,-3.22273640815254,0.26249305083246,-12.9719860296082,1.76399717389538e-38,1.95677686504251e-35
"17105",8799.5479129022,-2.33943087046011,0.189466016204399,-12.4900043429936,8.46490211258105e-36,8.9631770323898e-33
"98752",381.711607616694,-3.06833356216037,0.2566647332683,-12.3359894678482,5.79723548556416e-35,5.87159133200944e-32
"19373",607.860465062104,-2.98822975699328,0.248283813872566,-12.1891546427128,3.55085649797464e-34,3.44655008834664e-31
"15985",1006.66858634676,-2.69510434229594,0.227049407523914,-12.175623085894,4.19180650635405e-34,3.9059253026207e-31
"76650",2672.61200110609,2.20818336177542,0.184133671717462,12.0862422652862,1.24868445030087e-33,1.11877324114456e-30
"20249",577.627025485115,-2.50430300125796,0.212751559102399,-12.046658961024,2.01971699765256e-33,1.74256694297468e-30
"64082",401.717544706317,-3.04675875737196,0.263899319582114,-11.9768317525678,4.69942134957503e-33,3.90975072636966e-30
"71775",1803.90819687656,-2.16971748437488,0.188257869762467,-11.8402128161779,2.41838521760943e-32,1.94263047049006e-29
"21849",304.968926895098,-3.26186741168025,0.280707082785609,-11.733641761777,8.56908649468926e-32,6.65389566312621e-29
"11932",3033.79091598679,1.98633496659474,0.173489669387259,11.6936689931819,1.3732329157001e-31,1.03191808939464e-28
"12518",1384.54505235025,-2.61932588927691,0.23083338845331,-11.6289655085026,2.93634446299628e-31,2.13756700829682e-28
"27205",995.743909862401,2.85624784125789,0.272014403779343,11.5998293769991,4.12900631411837e-31,2.9147030935572e-28
"12796",10271.6458509345,-1.78562803690042,0.155892328874854,-11.5868897775871,4.80256574089556e-31,3.29046379218124e-28
"329540",1002.49084657584,2.23314062926267,0.198926312839399,11.490450300216,1.47341880937812e-30,9.80665461841805e-28
"66667",1903.94267474144,1.87089408537069,0.164030762276986,11.4726215526745,1.81088727791497e-30,1.17179497608414e-27
"22022",2020.91183929366,1.99504896987358,0.179893152659609,11.2949858177497,1.38926480508951e-29,8.74673611744866e-27
"245282",2181.16309421939,2.13358575751653,0.191229850276264,11.2492370403142,2.3360397626231e-29,1.43205384921855e-26
"15511",280.142568807678,3.12143605208605,0.290056073953925,11.1833572957556,4.91930667092761e-29,2.9383397153656e-26
"84505",2435.75552619332,1.94700141217428,0.180503349390585,11.1210113415671,9.91417122668587e-29,5.77376546814119e-26
"215446",246.967828157598,3.09087832788852,0.286456118254021,11.0616825460902,1.9245300779634e-28,1.09346166258921e-25
"83397",345.682012065531,-2.83426261511389,0.260647116309462,-11.0409255495172,2.42522031927671e-28,1.34513112708455e-25
"319887",637.164408552733,2.28090772500044,0.210715193945993,10.8806488377887,1.42544679658902e-27,7.72227514570726e-25
"100503944",383.82710042851,-2.84921989315565,0.267874062380686,-10.8759880187919,1.50021536825504e-27,7.94261750079571e-25
"76373",1214.81705451244,2.27866063637587,0.211008432853407,10.7922236246041,3.74614051989767e-27,1.93925207580036e-24
"12478",531.61434138847,-2.82649461226165,0.271342874791764,-10.7178451459677,8.39360589154852e-27,4.25063150529615e-24
"76389",423.681725971192,2.73575750294847,0.265828623756297,10.6742418467217,1.34349732090803e-26,6.65888725330905e-24
"71733",714.549311216864,2.18659655178858,0.21022398441812,10.6450756195509,1.83834948209624e-26,8.92173983029832e-24
"20863",271.187003429264,2.95703404725879,0.28644012673745,10.6301342620664,2.15801580705841e-26,1.00541956450851e-23
"13087",216.846998985156,3.53509866181398,0.311173615045189,10.6318282358123,2.11916882473665e-26,1.00541956450851e-23
"18476",365.825092982973,-2.91334344710311,0.278526330416166,-10.5557479643425,4.77818714533189e-26,2.18250724608836e-23
"269700",19527.4313067427,-1.56241676122638,0.151266636064251,-10.4836716085838,1.02678387937824e-25,4.59979432117618e-23
"13417",1281.44999848974,2.02461992903544,0.199583632880587,10.4603394702555,1.31384099505477e-25,5.77470301505676e-23
"227358",949.894544101086,2.10055309993363,0.205982541465432,10.4457673731114,1.53211241180083e-25,6.60936270979634e-23
"21334",480.132344456746,-2.48504159701469,0.256928181142854,-10.3238409234269,5.49787931515539e-25,2.32860179357354e-22
"106633",2705.24585489748,-1.61623642584627,0.160643798367807,-10.2451897139826,1.24380630117281e-24,5.17401210461084e-22
"14062",728.906828400225,2.0320518626248,0.206607749263712,10.2083029137187,1.82020518140211e-24,7.43889117557231e-22
